"country","continent","lifeExp","pop","gdpPercap"
"87950987 Munch Bunch Squashum Strawberry Yogurt Drink 6 X90g","1",80,300000000,5000
"37689743 Tesco Fromage Frais Strawberry Raspberry Pouches 4 X 80G","2",30,300000000,4000
"47689543 Frubes Strawberry Red Berry & Peach Yogurts 9X37g","3",50,900000000,2500
"28989098 Wildlife Choobs Strawberry Raspberry & Apricot Yogurt 6X37g","4",36,600000000,3000
"87909876 Munch Bunch Squashum Strawberry Raspberry Yogurt 360G","5",10,700000000,8000
"28987659 Munch Bunch Double Up Strawberry Vanilla Yogurt 4 X85g","6",66,400000000,1000
"87906666 Creamfields Apricot Strawberry Raspberry Fromage Frais 12 X 50G","7",35,600000333,1500
"36576875 Petits Filous Variety Fromage Frais 18 X47g","8",11,800000333,3400
"69879064 The Collective Suckies Strawberry Yogurt 100G","9",19,800000333,4600
"48796087 Petits Filous Apricot & Strawberry Fromage Frais 4 X85g","10",76,150000333,600
"79844489 Paw Patrol Strawberry Fromage Frais 6X45g","11",51,200000333,1600
"34598768 Petits Filous Magic Squares Strawberry Vanilla Yogurt 4 X80g","12",11,100000333,2416
"58679987 Peppa Pig Strawberry Fromage Frais 6 X45g","13",49,500000333,1324
"22325565 Wildlife Strawberry & Peach Fromage Frais 18 X45g","14",22,200000333,3215
"79898876 Petits Filous Magic Squares Raspberry Vanilla Yogurt 4 X80g","15",37,800000333,1942

